iter	Passed	Remaining
559	2432	1911
560	2436	1906
561	2440	1902
562	2443	1896
563	2447	1892
564	2450	1886
565	2453	1881
566	2457	1876
567	2459	1870
568	2462	1865
569	2466	1860
570	2470	1855
571	2473	1851
572	2476	1845
573	2479	1840
574	2483	1835
575	2487	1830
576	2490	1825
577	2493	1820
578	2496	1814
579	2500	1810
580	2502	1804
581	2505	1799
582	2508	1794
583	2512	1789
584	2515	1784
585	2518	1779
586	2521	1773
587	2524	1768
588	2527	1763
589	2531	1759
590	2534	1753
591	2536	1748
592	2539	1742
593	2542	1737
594	2545	1732
595	2548	1727
596	2551	1722
597	2553	1716
598	2556	1711
599	2560	1707
600	2563	1701
601	2566	1696
602	2568	1691
603	2571	1685
604	2575	1681
605	2578	1676
606	2580	1670
607	2583	1665
608	2586	1660
609	2590	1656
610	2593	1651
611	2596	1646
612	2599	1640
613	2602	1636
614	2606	1631
615	2609	1626
616	2612	1621
617	2614	1616
618	2617	1611
619	2620	1606
620	2623	1600
621	2625	1595
622	2628	1590
623	2631	1585
624	2634	1580
625	2636	1575
626	2639	1570
627	2642	1565
628	2645	1560
629	2652	1558
630	2656	1553
631	2658	1548
632	2662	1543
633	2665	1538
634	2667	1533
635	2670	1528
636	2673	1523
637	2675	1518
638	2679	1513
639	2681	1508
640	2684	1503
641	2687	1498
642	2689	1493
643	2692	1488
644	2695	1483
645	2698	1478
646	2701	1473
647	2704	1469
648	2708	1464
649	2712	1460
650	2715	1455
651	2719	1451
652	2722	1446
653	2726	1442
654	2729	1437
655	2731	1432
656	2734	1427
657	2742	1425
658	2746	1421
659	2749	1416
660	2753	1412
661	2757	1407
662	2760	1403
663	2764	1398
664	2767	1394
665	2771	1389
666	2774	1385
667	2777	1380
668	2780	1375
669	2786	1372
670	2789	1367
671	2792	1363
672	2796	1358
673	2801	1355
674	2804	1350
675	2808	1345
676	2811	1341
677	2817	1338
678	2820	1333
679	2824	1329
680	2828	1324
681	2831	1320
682	2835	1316
683	2838	1311
684	2842	1307
685	2846	1302
686	2850	1298
687	2854	1294
688	2857	1289
689	2861	1285
690	2865	1281
691	2868	1276
692	2871	1272
693	2877	1268
694	2880	1264
695	2885	1260
696	2889	1256
697	2893	1251
698	2896	1247
699	2899	1242
700	2904	1239
701	2908	1234
702	2912	1230
703	2915	1225
704	2920	1222
705	2924	1217
706	2928	1213
707	2931	1209
708	2935	1204
709	2939	1200
710	2942	1196
711	2945	1191
712	2950	1187
713	2953	1183
714	2956	1178
715	2959	1173
716	2963	1169
717	2966	1165
718	2969	1160
719	2973	1156
720	2975	1151
721	2980	1147
722	2983	1143
723	2986	1138
724	2990	1134
725	2994	1130
726	2997	1125
727	3001	1121
728	3005	1117
729	3009	1113
730	3013	1108
731	3016	1104
732	3019	1099
733	3021	1095
734	3025	1090
735	3029	1086
736	3032	1082
737	3035	1077
738	3039	1073
739	3042	1069
740	3045	1064
741	3048	1060
742	3051	1055
743	3055	1051
744	3058	1046
745	3061	1042
746	3064	1037
747	3067	1033
748	3071	1029
749	3073	1024
750	3077	1020
751	3079	1015
752	3083	1011
753	3086	1007
754	3089	1002
755	3092	998
756	3095	993
757	3099	989
758	3103	985
759	3105	980
760	3107	976
761	3109	971
762	3111	966
763	3114	961
764	3116	957
765	3118	952
766	3120	947
767	3122	943
768	3124	938
769	3125	933
770	3128	929
771	3130	924
772	3132	919
773	3135	915
774	3137	910
775	3139	906
776	3144	902
777	3148	898
778	3151	894
779	3155	889
780	3160	886
781	3165	882
782	3170	878
783	3175	874
784	3179	870
785	3183	866
786	3186	862
787	3191	858
788	3195	854
789	3199	850
790	3204	846
791	3208	842
792	3212	838
793	3217	834
794	3222	830
795	3225	826
796	3228	822
797	3234	818
798	3238	814
799	3242	810
800	3245	806
801	3249	802
802	3253	798
803	3255	793
804	3258	789
805	3261	785
806	3266	781
807	3269	776
808	3272	772
809	3275	768
810	3279	764
811	3283	760
812	3287	756
813	3290	751
814	3293	747
815	3298	743
816	3301	739
817	3304	735
818	3309	731
819	3312	727
820	3316	723
821	3319	718
822	3323	714
823	3326	710
824	3329	706
825	3332	701
826	3334	697
827	3338	693
828	3341	689
829	3344	685
830	3348	680
831	3351	676
832	3361	673
833	3366	670
834	3377	667
835	3381	663
836	3387	659
837	3394	656
838	3404	653
839	3410	649
840	3417	646
841	3422	642
842	3436	640
843	3440	635
844	3462	635
845	3467	631
846	3471	627
847	3479	623
848	3484	619
849	3494	616
850	3498	612
851	3510	609
852	3517	606
853	3522	602
854	3527	598
855	3532	594
856	3538	590
857	3546	586
858	3554	583
859	3560	579
860	3571	576
861	3576	572
862	3580	568
863	3591	565
864	3598	561
865	3602	557
866	3606	553
867	3617	550
868	3622	546
869	3625	541
870	3629	537
871	3632	533
872	3636	528
873	3639	524
874	3643	520
875	3646	516
876	3650	511
877	3654	507
878	3658	503
879	3662	499
880	3666	495
881	3669	490
882	3674	486
883	3680	482
884	3688	479
885	3693	475
886	3697	471
887	3702	466
888	3706	462
889	3710	458
890	3714	454
891	3718	450
892	3722	446
893	3725	441
894	3730	437
895	3736	433
896	3739	429
897	3743	425
898	3748	421
899	3752	416
900	3756	412
901	3761	408
902	3766	404
903	3771	400
904	3775	396
905	3779	392
906	3784	388
907	3788	383
908	3793	379
909	3797	375
910	3801	371
911	3804	367
912	3810	363
913	3813	358
914	3817	354
915	3823	350
916	3828	346
917	3831	342
918	3834	337
919	3841	334
920	3844	329
921	3848	325
922	3851	321
923	3857	317
924	3860	313
925	3865	308
926	3870	304
927	3873	300
928	3878	296
929	3885	292
930	3889	288
931	3894	284
932	3897	279
933	3903	275
934	3907	271
935	3910	267
936	3913	263
937	3917	258
938	3921	254
939	3924	250
940	3927	246
941	3932	242
942	3935	237
943	3938	233
944	3941	229
945	3945	225
946	3948	221
947	3952	216
948	3955	212
